station_id;coordinate_x;coordinate_y
ZUSZ;-1.0453333333333332;8.583333333333334
ZSEL;-0.16349999999999998;8.625
ZGH;1.0233333333333334;8.583333333333334
ZSAA;1.805;8.583333333333334
ZBRU;2.5875000000000004;8.625
ZMA;4.2716666666666665;8.0
ZLE;4.783;7.6
SOOD;6.4575;8.0
ADW;7.300000000000001;7.5
SIA;8.3525;8.0
WP;9.442499999999999;8.0
LNG;10.68;7.5
SIW;13.2175;7.5
ZBZ;1.4816666666666667;1.0833333333333333
FRIB;2.3455;1.0
SHF;2.6553333333333335;1.0833333333333333
TRLI;3.2670000000000003;1.0
UIWA;5.9375;1.0
RILI;7.076666666666667;0.5833333333333334
UEBE;9.0775;1.5
