original_event_infra_info;abk;bezeichnung;line 
('ZUSZ', 'ZUSZ');ZUSZ;Zürich HB SZU;Stadt
('ZMA', 'ZMA');ZMA;Zürich Manegg;Sihltal
('WP', 'WP');WP;Wildpark-Höfli;Sihltal
('ZBRU', 'ZBRU');ZBRU;Zürich Brunau;Sihltal
('ZBZ', 'ZBZ');ZBZ;Zürich Binz;Uetliberg
('RILI', 'RILI');RILI;Ringlikon;Uetliberg
('LNG', 'LNG');LNG;Langnau-Gattikon;Sihltal
('FRIB', 'FRIB');FRIB;Zürich Friesenberg;Uetliberg
('ZLE', 'ZLE');ZLE;Zürich Leimbach;Sihltal
('ZSEL', 'ZSEL');ZSEL;Zürich Selnau;Stadt
('UIWA', 'UIWA');UIWA;Uitikon Waldegg;Uetliberg
('UEBE', 'UEBE');UEBE;Uetliberg;Uetliberg
('SHF', 'SHF');SHF;Zürich Schweighof;Uetliberg
('TRLI', 'TRLI');TRLI;Zürich Triemli;Uetliberg
('ZGH', 'ZGH');ZGH;Zürich Giesshübel;Stadt
('SIW', 'SIW');SIW;Sihlwahld;Sihltal
('SOOD', 'SOOD');SOOD;Sood-Oberleimbach;Sihltal
('SIA', 'SIA');SIA;Sihlau;Sihltal
('ZSAA', 'ZSAA');ZSAA;Zürich Saalsporthalle;Sihltal
('ADW', 'ADW');ADW;Adliswil;Sihltal
('ZWIE', 'ZWIE');ZWIE;Wiedikon;Keine
('SBG', 'SBG');SBG;Sihlbrugg;Sihltal
